transaction_id,customer_id,amount,currency,payment_method,failure_reason,attempt_number,previous_success_count,previous_failure_count,average_transaction_amount,customer_lifetime_value,days_since_last_purchase,purchase_frequency,subscription_status,device_type,country,hour,day_of_week,recovery_probability,recovered,recovery_time_minutes,recovery_action
TXN000001,CUST00861,6271.33,INR,upi,insufficient_funds,1,7,3,1937.59,11225.86,59,0.806,active,tablet,UK,11,6,0.9204,1,31,retry
TXN000002,CUST00647,1997.69,INR,card,expired_card,1,5,2,5786.07,29561.76,146,1.553,trial,desktop,Singapore,7,4,0.5456,0,0,reminder
TXN000003,CUST03994,1772.52,INR,wallet,expired_card,1,3,1,5718.2,26197.68,41,1.831,trial,mobile,India,15,6,0.9212,1,43,retry
TXN000004,CUST02774,1482.96,INR,netbanking,insufficient_funds,1,8,0,1104.2,12457.89,151,1.213,active,mobile,UAE,6,2,0.9329,1,29,retry
TXN000005,CUST01598,8925.17,INR,upi,bank_timeout,2,8,2,464.69,3964.84,51,0.546,active,mobile,India,19,0,0.97,1,9,payment_link
TXN000006,CUST03458,1599.6,INR,upi,network_error,4,7,3,1181.67,14589.34,69,1.268,inactive,mobile,India,8,3,0.6933,1,56,reminder
TXN000007,CUST02812,5605.42,INR,upi,network_error,1,7,0,5268.29,65667.48,60,0.529,trial,tablet,UAE,4,2,0.9529,1,38,payment_link
TXN000008,CUST02256,1255.35,INR,netbanking,bank_timeout,2,5,0,3369.04,27462.3,169,0.36,active,mobile,Singapore,23,6,0.8575,1,37,payment_link
TXN000009,CUST00955,551.96,INR,card,issuer_decline,1,11,1,2549.3,22953.97,24,0.668,inactive,mobile,Singapore,0,3,0.97,1,38,payment_link
TXN000010,CUST03328,2585.98,INR,upi,issuer_decline,1,7,2,4084.04,33042.68,26,1.622,trial,tablet,USA,6,0,0.97,1,14,payment_link
TXN000011,CUST01167,3204.35,INR,card,network_error,1,5,0,2142.33,10202.55,8,1.542,active,desktop,Singapore,5,4,0.97,1,47,payment_link
TXN000012,CUST04365,1738.47,INR,wallet,incorrect_otp,1,6,1,2749.48,17944.4,118,1.432,inactive,mobile,UAE,6,6,0.8408,1,14,retry
TXN000013,CUST02745,4577.78,INR,card,network_error,1,6,2,2984.74,25918.04,4,1.236,trial,tablet,Singapore,19,3,0.97,1,13,payment_link
TXN000014,CUST02739,30071.03,INR,netbanking,expired_card,2,5,3,1356.32,7546.79,135,0.245,inactive,desktop,UAE,23,3,0.0499,0,0,escalate
TXN000015,CUST02809,396.72,INR,upi,insufficient_funds,2,8,2,7884.83,79954.81,141,1.792,active,mobile,India,18,3,0.9494,1,22,retry
TXN000016,CUST04947,1551.13,INR,card,expired_card,1,10,6,2951.31,37658.18,27,1.415,active,mobile,UK,7,4,0.97,1,15,retry
TXN000017,CUST04313,636.97,INR,upi,insufficient_funds,1,12,2,6302.08,108449.53,117,1.927,active,tablet,UAE,14,4,0.97,1,26,retry
TXN000018,CUST03513,35445.84,INR,upi,insufficient_funds,2,9,2,3961.42,31847.97,41,0.527,active,mobile,India,0,4,0.7098,1,57,reminder
TXN000019,CUST01582,19627.46,INR,wallet,network_error,3,11,0,887.83,9381.56,149,0.122,trial,desktop,UAE,5,2,0.7495,0,0,reminder
TXN000020,CUST04179,4976.38,INR,card,insufficient_funds,1,10,4,4683.32,77035.73,179,1.807,inactive,tablet,USA,1,1,0.6795,1,58,reminder
TXN000021,CUST01332,3174.55,INR,upi,insufficient_funds,3,8,2,834.21,9641.57,151,0.265,active,mobile,Singapore,7,3,0.2921,0,0,escalate
TXN000022,CUST03267,3803.6,INR,wallet,expired_card,1,6,1,6320.65,45361.51,155,0.088,inactive,desktop,UK,15,4,0.1328,1,77,escalate
TXN000023,CUST00303,2765.42,INR,upi,issuer_decline,1,7,2,595.06,4678.15,28,0.05,active,mobile,USA,11,0,0.97,1,36,payment_link
TXN000024,CUST00067,2702.4,INR,upi,incorrect_otp,1,10,1,13643.11,189007.79,94,0.381,active,mobile,India,22,2,0.8985,0,0,retry
TXN000025,CUST00006,7220.23,INR,card,bank_timeout,3,9,2,2162.38,29829.38,64,0.184,active,tablet,UAE,10,2,0.8997,1,15,payment_link
TXN000026,CUST01674,2478.59,INR,wallet,issuer_decline,2,13,0,4194.93,98717.31,72,1.658,inactive,desktop,UK,20,4,0.97,1,26,payment_link
TXN000027,CUST04228,29010.14,INR,card,expired_card,2,10,1,806.62,13524.27,42,0.287,inactive,desktop,Singapore,6,2,0.1065,0,0,escalate
TXN000028,CUST02598,8334.46,INR,netbanking,network_error,1,10,2,6044.64,91765.57,164,1.09,active,mobile,UK,9,5,0.97,1,5,payment_link
TXN000029,CUST00363,4817.3,INR,upi,expired_card,1,14,2,1355.81,36159.65,63,0.63,active,desktop,India,20,0,0.9631,1,13,retry
TXN000030,CUST00575,10423.14,INR,wallet,insufficient_funds,1,7,2,2507.0,18674.18,114,1.33,active,tablet,India,19,5,0.8772,1,46,retry
TXN000031,CUST04423,1849.06,INR,upi,issuer_decline,3,5,3,3309.33,21194.86,166,1.533,active,mobile,UK,9,1,0.8706,1,44,payment_link
TXN000032,CUST00055,5915.41,INR,upi,network_error,1,3,2,1735.64,5653.77,162,1.613,trial,desktop,UK,15,3,0.9168,1,13,payment_link
TXN000033,CUST04426,685.55,INR,netbanking,incorrect_otp,1,8,2,10252.54,151094.68,120,1.971,active,mobile,USA,18,0,0.97,1,5,retry
TXN000034,CUST03431,6750.62,INR,card,network_error,3,10,1,1286.76,14409.11,168,0.509,inactive,mobile,USA,12,0,0.4849,1,42,reminder
TXN000035,CUST04226,6109.86,INR,card,expired_card,1,10,0,1793.6,19993.56,81,0.998,inactive,mobile,USA,1,4,0.6514,1,27,reminder
TXN000036,CUST00061,1945.03,INR,card,incorrect_otp,2,8,1,10601.11,156687.37,8,1.282,inactive,desktop,India,17,0,0.97,1,37,retry
TXN000037,CUST00047,4037.89,INR,wallet,insufficient_funds,1,5,2,2050.66,13802.71,103,0.084,inactive,mobile,Singapore,12,1,0.1443,0,0,escalate
TXN000038,CUST04460,10029.8,INR,upi,incorrect_otp,1,8,1,18368.51,165467.12,121,1.539,active,mobile,UAE,0,5,0.97,1,5,retry
TXN000039,CUST02034,2697.99,INR,card,issuer_decline,1,7,0,5937.39,80367.02,11,1.808,trial,desktop,Singapore,7,3,0.97,1,31,payment_link
TXN000040,CUST01390,2200.18,INR,card,network_error,1,9,2,2025.24,19477.2,89,1.19,inactive,mobile,India,23,2,0.97,1,13,payment_link
TXN000041,CUST01356,3529.99,INR,card,issuer_decline,3,3,1,4384.13,12249.64,28,0.162,trial,mobile,UAE,18,1,0.6921,1,52,reminder
TXN000042,CUST01997,27361.37,INR,card,bank_timeout,2,12,1,6936.53,82648.36,100,1.117,inactive,mobile,USA,12,5,0.7976,1,21,payment_link
TXN000043,CUST04796,4248.87,INR,card,incorrect_otp,1,5,2,4201.91,34671.77,118,0.698,inactive,mobile,USA,13,6,0.4913,1,52,reminder
TXN000044,CUST02429,5309.28,INR,card,network_error,2,3,1,3172.47,17046.68,75,0.449,active,desktop,UK,2,0,0.97,1,5,payment_link
